epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7383,1.23429,4.50706,1.09193,0.00297,0.21567,0.05533,0.02071,0.94815,4.49121,1.01821,2.668e-05,2.668e-05,2.668e-05
2,160.454,1.14759,4.33998,1.08137,0.00451,0.25456,0.0588,0.02737,0.98859,4.44138,1.00152,5.88414e-05,5.88414e-05,5.88414e-05
3,237.149,1.1094,3.9769,1.03873,0.00839,0.26038,0.04289,0.03427,0.99309,4.37783,0.98391,8.96822e-05,8.96822e-05,8.96822e-05
4,334.513,1.15891,3.43429,1.004,0.01238,0.34712,0.04917,0.03838,0.99327,4.32674,0.96409,0.000119202,0.000119202,0.000119202
5,403.996,1.13257,3.12924,1.02277,0.01552,0.55641,0.06347,0.04557,1.04271,4.17924,0.9638,0.000147402,0.000147402,0.000147402
6,473.99,1.17167,2.93065,1.03993,0.01482,0.6051,0.07678,0.05222,1.08329,4.07781,0.96262,0.00017428,0.00017428,0.00017428
7,547.253,1.13783,2.74918,0.98868,0.01412,0.63043,0.11038,0.08172,1.09363,3.94885,0.96605,0.000199839,0.000199839,0.000199839
8,612.223,1.11106,2.58453,0.99966,0.014,0.64253,0.12278,0.09168,1.10413,3.87506,0.96689,0.000224076,0.000224076,0.000224076
9,680.69,1.12377,2.54615,0.9756,0.0148,0.6493,0.12385,0.09601,1.06942,3.78492,0.96604,0.000246993,0.000246993,0.000246993
10,769.428,1.13201,2.41794,0.98369,0.01509,0.68873,0.12981,0.09768,1.08739,3.69168,0.97532,0.000268589,0.000268589,0.000268589
11,845.357,1.10093,2.26717,0.98485,0.98553,0.03379,0.1444,0.10952,1.14277,3.56904,0.97902,0.000288864,0.000288864,0.000288864
12,919.899,1.01896,2.06022,0.97521,0.60105,0.07367,0.14666,0.117,1.10022,3.46552,0.97242,0.000307819,0.000307819,0.000307819
13,997.207,1.00353,1.9648,0.97968,0.5841,0.0813,0.15323,0.11849,1.11487,3.42682,0.97436,0.000325453,0.000325453,0.000325453
14,1070.91,1.04636,2.08275,0.97738,0.68536,0.08023,0.16417,0.1219,1.12836,3.3439,0.98054,0.000341767,0.000341767,0.000341767
15,1142.65,1.07362,2.01506,0.97037,0.64016,0.08715,0.18382,0.13542,1.1373,3.24576,0.98837,0.00035676,0.00035676,0.00035676
16,1216.56,1.03178,1.90188,0.9722,0.71153,0.09981,0.1881,0.14109,1.12154,3.21577,0.98852,0.000370432,0.000370432,0.000370432
17,1294.89,1.05594,1.95146,0.96796,0.69586,0.09785,0.19698,0.14945,1.12494,3.19334,0.99714,0.000382783,0.000382783,0.000382783
18,1373.17,0.97998,1.94156,0.95374,0.67887,0.10002,0.19083,0.14669,1.13031,3.15318,1.00052,0.000393814,0.000393814,0.000393814
19,1458.93,0.95321,1.79917,0.95888,0.47787,0.09482,0.18511,0.1434,1.13844,3.08371,1.00264,0.000403524,0.000403524,0.000403524
20,1534.42,0.91306,1.66043,0.93736,0.46053,0.12574,0.19077,0.14971,1.13142,2.91832,1.0171,0.000411914,0.000411914,0.000411914
21,1606.73,0.96319,1.72572,0.94447,0.48597,0.14352,0.19959,0.15161,1.12307,2.82737,1.01502,0.000402868,0.000402868,0.000402868
22,1682.65,0.94757,1.69974,0.94432,0.47698,0.13846,0.20191,0.15149,1.14202,2.75687,1.0152,0.000389661,0.000389661,0.000389661
23,1776.23,0.90987,1.60289,0.93499,0.57706,0.15278,0.20024,0.14935,1.15486,2.71589,1.01358,0.000376455,0.000376455,0.000376455
24,1847.59,0.95475,1.68114,0.93162,0.67274,0.1595,0.22624,0.16646,1.16673,2.67306,1.01009,0.000363248,0.000363248,0.000363248
25,1917.65,0.88467,1.54927,0.92245,0.67513,0.16079,0.23518,0.17051,1.18622,2.6322,1.0169,0.000350042,0.000350042,0.000350042
26,1991.12,0.90586,1.55159,0.94379,0.61494,0.16419,0.23148,0.17292,1.16574,2.58199,1.01637,0.000336835,0.000336835,0.000336835
27,2064.68,0.85758,1.42229,0.92049,0.51363,0.16209,0.22581,0.173,1.14945,2.54379,1.01326,0.000323628,0.000323628,0.000323628
28,2140.96,0.86168,1.44732,0.92352,0.40939,0.18827,0.23084,0.17715,1.12908,2.46049,1.00656,0.000310422,0.000310422,0.000310422
29,2211.96,0.87536,1.46008,0.92991,0.41148,0.20574,0.22986,0.17725,1.12815,2.45515,1.0036,0.000297215,0.000297215,0.000297215
30,2289.09,0.87501,1.44874,0.93267,0.42658,0.2007,0.23424,0.17862,1.13691,2.4605,1.00116,0.000284009,0.000284009,0.000284009
31,2370.81,0.89968,1.39694,0.93941,0.47432,0.19265,0.26243,0.2048,1.14077,2.43789,0.99743,0.000270802,0.000270802,0.000270802
32,2448.06,0.92347,1.4919,0.92788,0.58835,0.19676,0.26931,0.20181,1.16382,2.42894,1.00231,0.000257595,0.000257595,0.000257595
33,2520.65,0.88061,1.38845,0.91352,0.44896,0.23481,0.28123,0.20823,1.18056,2.41632,1.0118,0.000244389,0.000244389,0.000244389
34,2600.9,0.8315,1.30679,0.89906,0.46137,0.23452,0.28022,0.21263,1.14182,2.38947,1.00842,0.000231182,0.000231182,0.000231182
35,2679.11,0.85533,1.36354,0.9223,0.36754,0.22722,0.28274,0.21615,1.11776,2.36656,1.00679,0.000217976,0.000217976,0.000217976
36,2756.7,0.79778,1.25415,0.90184,0.36715,0.24546,0.29039,0.22059,1.10628,2.30631,1.00481,0.000204769,0.000204769,0.000204769
37,2853.19,0.75649,1.25069,0.91023,0.38684,0.29275,0.2981,0.22661,1.11801,2.28812,1.00625,0.000191562,0.000191562,0.000191562
38,2941.66,0.81882,1.26374,0.89623,0.3727,0.29063,0.30284,0.23211,1.1187,2.25809,1.00688,0.000178356,0.000178356,0.000178356
39,3012.32,0.78882,1.25914,0.90015,0.35711,0.27724,0.31088,0.23932,1.13167,2.24028,1.00826,0.000165149,0.000165149,0.000165149
40,3082.63,0.79515,1.22631,0.89906,0.35814,0.28588,0.31146,0.242,1.11202,2.2075,1.00419,0.000151943,0.000151943,0.000151943
41,3166.37,0.80101,1.43471,0.89751,0.34623,0.28452,0.3185,0.24781,1.10064,2.20028,1.00046,0.000138736,0.000138736,0.000138736
42,3230.38,0.77489,1.39342,0.88831,0.36302,0.27849,0.30764,0.23843,1.08707,2.2071,0.99404,0.000125529,0.000125529,0.000125529
43,3303.83,0.74382,1.35235,0.8793,0.36957,0.27708,0.30608,0.23527,1.08999,2.23188,0.99659,0.000112323,0.000112323,0.000112323
